id,display_name,country_code
A5045801671,Thad﻿ Starner﻿﻿,US
A5046665314,Tanzeem Choudhury,US
A5019595239,François Bérard,FR
A5021989698,Edward H. Adelson,US
A5082391569,Jacopo Staiano,IT
A5110228068,Fabio Pianesi,IT
A5027171279,Nicu Sebe,IT
A5100766387,Xiaoyan Qiu,CN
A5070491230,Alireza Sahami Shirazi,US
A5027110040,Martijn van Zomeren,NL
A5072690374,Yoshihiko Suhara,US
A5005932872,Yinzhan Xu,US
A5081241112,Karissa McKelvey,US
A5030027972,Lynn Wu,US
A5017393131,Sinan Aral,US
A5038255653,Erik Brynjolfsson,US
A5103810699,Lilian Weng,US
A5031799782,Nicola Perra,US
A5084282503,Carlos Castillo,QA
A5022272025,Francesco Bonchi,ES
A5036258938,Rossano Schifanella,IT
A5044137163,Erin McFee,US
A5032058863,Ben Waber,US
A5047344016,Vasileios Lampos,GB
A5010908695,Philip Garnett,GB
A5018037817,R. Alexander Bentley,GB
A5047724274,Wen Dong,
A5100628305,Wenqiang Wang,US
A5101715504,Aram Galstyan,US
A5101787543,Xiaoling Sun,CN
A5101882945,Jasleen Kaur,US
A5108688680,Staša Milojević,US
A5100447536,Long Wang,CN
A5081956768,Martin A. Nowak,US
A5003031572,Andrey Bogomolov,IT
A5079154791,Kokil Jaidka,SG
A5058939619,Alvin Zhou,US
A5037708423,Yphtach Lelkes,US
A5004318489,Prashant Shiralkar,
A5074995400,Arkadiusz Stopczynski,DK
A5015080044,Sune Lehmann,DK
A5001715660,José Balsa‐Barreiro,US
A5046771809,Yingcheng Li,CN
A5104111272,Alfredo Morales,US
A5038981063,Christoph Hauert,CA
A5090133007,Camille Saade,FR
A5049365731,David A. Preece,AU
A5057733690,Rodrigo Becerra,AU
A5003282344,Mark Boyes,AU
A5003101081,Penelope Hasking,AU
A5029348961,Benjamin Allen,US
A5080210949,Olivier Morin,DE
A5084707282,Pierre O. Jacquet,FR
A5063730953,Krist Vaesen,NL
A5090637102,Paul Michael Garrett,AU
A5077163579,Thorsten Pachur,DE
A5052195406,William J. Brady,US
A5055444532,Jay Joseph Van Bavel,US
A5014437029,Jana Lasser,AT
A5063612283,Segun Taofeek Aroyehun,AT
A5012811021,Fabio Carrella,GB
A5084395089,David García,AT
A5108052411,Xinyi Zhao,DE
A5067953991,Aliakbar Akbaritabar,DE
A5031279419,Ridhi Kashyap,GB
A5086453253,Emilio Zagheni,DE
A5057977875,Jayanth R. Banavar,US
A5069264300,Francesca Colaiori,GB
A5076985100,Amos Maritan,IT
A5103065585,Andrea Rinaldo,IT
A5075533617,Alessandro Vinciarelli,CH
A5016033078,Maja Pantić,GB
A5108187466,Hervé Bourlard,CH
A5028276052,Peter A. Gloor,US
A5111666319,Sai T. Moturu,US
A5030951161,M. Ángeles Serrano,ES
A5044014333,Alejandro Llorente,ES
A5113372108,S. T. Moturu,US
A5002047466,Ankur Mani,US
A5108105534,Christine Ogan,US
A5054916490,Olivier Morin,DE
A5027659421,Stefano Ghirlanda,SE
A5088882770,Magnus Enquist,SE
A5002597222,Mounia Lalmas,GB
A5045691648,Stephan Seiler,US
A5005537718,Yunkang Yang,US
A5010828486,Sebastian Schnorf,US
A5057136388,Roberto Larcher,IT
A5051374361,Fabrizio Antonelli,IT
A5019984358,Sifan Xu,US
A5084485442,Burçin Bozkaya,TR
A5109840817,Harold Herzog,US
A5035791917,Michiel A. Bakker,US
A5046689828,Bernardo Garcia-Bulle,US
A5111386313,Edward O. Wilson,US
A5033484534,Maxim Milyavsky,IL
A5103084598,David Webber,US
A5058826186,Jessica R. Fernandez,US
A5075852205,Arie W. Kruglanski,US
A5024451217,Gaurav Suri,US
A5090663249,Diogo Pacheco,US
A5053599373,Charlotte Olivia Brand,GB
A5084496542,Alex Mesoudi,GB
A5040369194,Alfredo J. Morales,US
A5000868394,Eaman Jahani,US
A5072930694,Carlos Sarraute,AR
A5034827139,Yaneer Bar‐Yam,US
A5003904836,Manon Berriche,FR
A5079952100,Cristina Alaimo,IT
A5000361569,Erika Weisz,US
A5022827102,Timothy D. Sweeny,US
A5017619946,Mina Cikara,US
A5071093940,Joshua B. Tenenbaum,US
A5004297349,Linjuan Rita Men,US
A5025609075,Wan‐Hsiu Sunny Tsai,US
A5089504371,Saumya Bhadani,US
A5077658835,Shun Yamaya,US
A5010924288,Brendan Nyhan,US
A5064588407,Jieun Shin,US
A5054933332,Aimei Yang,US
A5101413310,Wenlin Liu,US
A5100698498,Hye Min Kim,US
A5048158777,Jingyi Sun,US
A5090329397,Zhuangyuan Fan,HK
A5039276197,Tianyu Su,US
A5055389084,Maoran Sun,GB
A5074719388,Ariel Noyman,US
A5100403456,Fan Zhang,HK
A5028748887,Iuliia Trabskaia,EE
A5043488321,Aleksei Gorgadze,EE
A5012806143,Mervi Raudsaar,EE
A5001708606,Heidi Myyryläinen,FI
A5101887015,Marjan Hosseini,US
A5048088355,Alireza Javadian Sabet,US
A5070251006,Suining He,US
A5083334761,Derek Aguiar,US
A5101007363,Yanni Yang,HK
A5069161059,Brian Clarkson,JP
A5044820831,Kazuhiko Mase,US
A5049739048,Sumit Basu,
A5103051685,Alessandro Cappelletti,IT
A5007138994,Massimo Zancanaro,IT
A5045828406,Matthew Thompson,GB
A5031056767,Amy Hagopian,US
A5066443671,Meredith A. Fordyce,US
A5111946431,L. Gary Hart,US
A5061287527,Marc Barthélemy,FR
A5077554326,Niccolò Tempini,GB
A5080306538,Smadar Cohen‐Chen,GB
A5090052245,Axel Heitmueller,GB
A5038407278,Sarah B. Henderson,GB
A5056937639,Will Warburton,GB
A5089912733,Ahmed K. Elmagarmid,QA
A5055785355,Ara Darzi,GB
A5077531047,Katayoun Farrahi,CH
A5012965551,Daniel Gática-Pérez,CH
A5077860150,Giovan Francesco Lanzara,IT
A5029104172,Alex Rutherford,AE
