id,publication_year,cited_by_count,author_ids
https://openalex.org/W4235862367,2021,28,"['A5076651767', 'A5054913386', 'A5112992954', 'A5076732230', 'A5020533147', 'A5056499434']"
https://openalex.org/W3159066689,2021,27,"['A5070705628', 'A5044610534', 'A5025956553', 'A5030250319', 'A5085478298', 'A5071293344', 'A5062285844', 'A5031744461']"
https://openalex.org/W4309618159,2022,20,"['A5051322312', 'A5106173081', 'A5040820784', 'A5030788989', 'A5112283852', 'A5032530421']"
https://openalex.org/W4366550636,2023,11,"['A5014325236', 'A5040820784', 'A5086974321', 'A5013116742', 'A5032530421']"
https://openalex.org/W2059206419,1992,67,"['A5038976962', 'A5064224835', 'A5052876977', 'A5044033087', 'A5066728847', 'A5101532924']"
https://openalex.org/W4235253211,2005,61,['A5038976962']
https://openalex.org/W19833001,2009,54,"['A5035349918', 'A5012976652', 'A5038976962', 'A5066728847']"
https://openalex.org/W2143959845,2011,46,"['A5054913386', 'A5086931422', 'A5055984015', 'A5027504546']"
https://openalex.org/W2130167023,2014,41,"['A5037488679', 'A5014647140']"
https://openalex.org/W2077451205,2011,40,"['A5005721051', 'A5100428031', 'A5100386464', 'A5073592405']"
https://openalex.org/W2089026372,2014,38,"['A5083303782', 'A5028488990']"
https://openalex.org/W2550515775,2016,37,"['A5086011172', 'A5071042104', 'A5060753814']"
https://openalex.org/W2803546908,2018,35,"['A5083303782', 'A5071818172']"
https://openalex.org/W2804752101,2018,34,"['A5087175282', 'A5022449356', 'A5076621655', 'A5045405753', 'A5015479064', 'A5050316172', 'A5038976962']"
https://openalex.org/W2587078066,2019,33,"['A5113886631', 'A5010996132']"
https://openalex.org/W2947759582,2019,32,"['A5015439547', 'A5063762907', 'A5023061106', 'A5112440044', 'A5079449271', 'A5073592405', 'A5014487792', 'A5021623495']"
https://openalex.org/W2981449230,2019,31,"['A5082095937', 'A5071293344', 'A5062285844', 'A5031744461', 'A5076259865']"
https://openalex.org/W2945524287,2019,30,"['A5082095937', 'A5071293344', 'A5062285844', 'A5031744461', 'A5076259865']"
https://openalex.org/W3105899904,2020,28,"['A5017591085', 'A5090308773', 'A5037183302', 'A5071293344', 'A5031439294', 'A5076259865']"
https://openalex.org/W3197416624,2021,26,"['A5060310064', 'A5062432559', 'A5054913386', 'A5056499434']"
https://openalex.org/W3160029355,2021,25,"['A5045230890', 'A5005700214', 'A5040820784', 'A5051099787', 'A5032423232', 'A5033247821', 'A5078443228', 'A5041906419']"
https://openalex.org/W4306173854,2022,17,"['A5009786305', 'A5014112495', 'A5051568032', 'A5038976962', 'A5087175282', 'A5007618142']"
https://openalex.org/W2156342504,2002,62,['A5054913386']
https://openalex.org/W2160075231,2009,42,"['A5014647140', 'A5110118358']"
https://openalex.org/W2122473190,1968,35,"['A5028932589', 'A5082649012', 'A5114065959', 'A5087024689', 'A5029484704']"
https://openalex.org/W2220609874,2015,33,"['A5017507131', 'A5073592405']"
https://openalex.org/W2080083917,2014,32,"['A5064296964', 'A5102756489', 'A5013559230', 'A5075956753', 'A5115598991', 'A5011229206', 'A5109833231', 'A5073189960', 'A5007176508']"
https://openalex.org/W2809476985,2018,30,"['A5082130337', 'A5017700623', 'A5033471397', 'A5037694810']"
https://openalex.org/W1480534495,2015,29,"['A5019007566', 'A5083303782']"
https://openalex.org/W2149074597,2014,29,"['A5071293344', 'A5049908505', 'A5051092148', 'A5015483503']"
https://openalex.org/W2980814098,2019,29,"['A5100781430', 'A5041361121', 'A5031461158', 'A5080731595', 'A5038976962']"
https://openalex.org/W3104414387,2016,29,"['A5064296964', 'A5091452530', 'A5007176508']"
https://openalex.org/W2559836499,2019,26,"['A5087031929', 'A5027392119', 'A5068414530', 'A5054913386']"
https://openalex.org/W2941088780,2019,26,"['A5103149967', 'A5062285844', 'A5071293344', 'A5055890875', 'A5076852435']"
https://openalex.org/W3090897281,2020,26,"['A5090625641', 'A5046790968', 'A5038976962']"
https://openalex.org/W4256154985,2020,24,"['A5052168303', 'A5012327209', 'A5054913386', 'A5056499434']"
https://openalex.org/W3154841881,2021,21,"['A5045620226', 'A5000679279']"
https://openalex.org/W112583549,2006,47,"['A5045287985', 'A5113594168', 'A5054049660', 'A5038976962']"
https://openalex.org/W1881134688,2006,47,"['A5057129019', 'A5054049660', 'A5038976962']"
https://openalex.org/W1950613511,2007,43,"['A5041337615', 'A5073592405', 'A5041992609', 'A5021537631', 'A5062163326']"
https://openalex.org/W3198334323,2006,42,"['A5075414122', 'A5000679279', 'A5038976962']"
https://openalex.org/W2225938006,2013,29,"['A5017507131', 'A5007071871', 'A5073592405']"
https://openalex.org/W2900975341,2019,25,"['A5064296964', 'A5057243118', 'A5073565809', 'A5056499434', 'A5007176508']"
https://openalex.org/W2904444295,2018,25,"['A5088448789', 'A5013688285', 'A5002041772', 'A5038976962', 'A5054586972', 'A5056242621']"
https://openalex.org/W2974188208,2019,22,"['A5075314395', 'A5075507724', 'A5016819382', 'A5002362611']"
https://openalex.org/W3013937328,2020,22,"['A5045620226', 'A5001257783', 'A5074825066', 'A5019928111', 'A5046348432']"
https://openalex.org/W3192799362,2021,19,"['A5015694492', 'A5074354806']"
https://openalex.org/W3200179082,2021,19,"['A5101676626', 'A5014647140', 'A5027079032']"
https://openalex.org/W4298005904,2022,12,"['A5023775697', 'A5054913386', 'A5020533147', 'A5056499434']"
https://openalex.org/W4309697951,2022,12,"['A5064296964', 'A5077079119', 'A5069454833', 'A5069999998', 'A5076633756', 'A5000679279']"
https://openalex.org/W1615219926,2006,38,"['A5054049660', 'A5038976962']"
